"alpha","lambda","log10_lambda","grid_id"
0,100,2,0
0.1,100,2,1
0.2,100,2,2
0.3,100,2,3
0.4,100,2,4
0.5,100,2,5
0.6,100,2,6
0.7,100,2,7
0.8,100,2,8
0.9,100,2,9
1,100,2,10
0,31.6227766016838,1.5,11
0.1,31.6227766016838,1.5,12
0.2,31.6227766016838,1.5,13
0.3,31.6227766016838,1.5,14
0.4,31.6227766016838,1.5,15
0.5,31.6227766016838,1.5,16
0.6,31.6227766016838,1.5,17
0.7,31.6227766016838,1.5,18
0.8,31.6227766016838,1.5,19
0.9,31.6227766016838,1.5,20
1,31.6227766016838,1.5,21
0,10,1,22
0.1,10,1,23
0.2,10,1,24
0.3,10,1,25
0.4,10,1,26
0.5,10,1,27
0.6,10,1,28
0.7,10,1,29
0.8,10,1,30
0.9,10,1,31
1,10,1,32
0,3.16227766016838,0.5,33
0.1,3.16227766016838,0.5,34
0.2,3.16227766016838,0.5,35
0.3,3.16227766016838,0.5,36
0.4,3.16227766016838,0.5,37
0.5,3.16227766016838,0.5,38
0.6,3.16227766016838,0.5,39
0.7,3.16227766016838,0.5,40
0.8,3.16227766016838,0.5,41
0.9,3.16227766016838,0.5,42
1,3.16227766016838,0.5,43
0,1,0,44
0.1,1,0,45
0.2,1,0,46
0.3,1,0,47
0.4,1,0,48
0.5,1,0,49
0.6,1,0,50
0.7,1,0,51
0.8,1,0,52
0.9,1,0,53
1,1,0,54
0,0.316227766016838,-0.5,55
0.1,0.316227766016838,-0.5,56
0.2,0.316227766016838,-0.5,57
0.3,0.316227766016838,-0.5,58
0.4,0.316227766016838,-0.5,59
0.5,0.316227766016838,-0.5,60
0.6,0.316227766016838,-0.5,61
0.7,0.316227766016838,-0.5,62
0.8,0.316227766016838,-0.5,63
0.9,0.316227766016838,-0.5,64
1,0.316227766016838,-0.5,65
0,0.1,-1,66
0.1,0.1,-1,67
0.2,0.1,-1,68
0.3,0.1,-1,69
0.4,0.1,-1,70
0.5,0.1,-1,71
0.6,0.1,-1,72
0.7,0.1,-1,73
0.8,0.1,-1,74
0.9,0.1,-1,75
1,0.1,-1,76
0,0.0316227766016838,-1.5,77
0.1,0.0316227766016838,-1.5,78
0.2,0.0316227766016838,-1.5,79
0.3,0.0316227766016838,-1.5,80
0.4,0.0316227766016838,-1.5,81
0.5,0.0316227766016838,-1.5,82
0.6,0.0316227766016838,-1.5,83
0.7,0.0316227766016838,-1.5,84
0.8,0.0316227766016838,-1.5,85
0.9,0.0316227766016838,-1.5,86
1,0.0316227766016838,-1.5,87
0,0.01,-2,88
0.1,0.01,-2,89
0.2,0.01,-2,90
0.3,0.01,-2,91
0.4,0.01,-2,92
0.5,0.01,-2,93
0.6,0.01,-2,94
0.7,0.01,-2,95
0.8,0.01,-2,96
0.9,0.01,-2,97
1,0.01,-2,98
0,0.00316227766016838,-2.5,99
0.1,0.00316227766016838,-2.5,100
0.2,0.00316227766016838,-2.5,101
0.3,0.00316227766016838,-2.5,102
0.4,0.00316227766016838,-2.5,103
0.5,0.00316227766016838,-2.5,104
0.6,0.00316227766016838,-2.5,105
0.7,0.00316227766016838,-2.5,106
0.8,0.00316227766016838,-2.5,107
0.9,0.00316227766016838,-2.5,108
1,0.00316227766016838,-2.5,109
0,0.001,-3,110
0.1,0.001,-3,111
0.2,0.001,-3,112
0.3,0.001,-3,113
0.4,0.001,-3,114
0.5,0.001,-3,115
0.6,0.001,-3,116
0.7,0.001,-3,117
0.8,0.001,-3,118
0.9,0.001,-3,119
1,0.001,-3,120
0,0.000316227766016838,-3.5,121
0.1,0.000316227766016838,-3.5,122
0.2,0.000316227766016838,-3.5,123
0.3,0.000316227766016838,-3.5,124
0.4,0.000316227766016838,-3.5,125
0.5,0.000316227766016838,-3.5,126
0.6,0.000316227766016838,-3.5,127
0.7,0.000316227766016838,-3.5,128
0.8,0.000316227766016838,-3.5,129
0.9,0.000316227766016838,-3.5,130
1,0.000316227766016838,-3.5,131
0,1e-04,-4,132
0.1,1e-04,-4,133
0.2,1e-04,-4,134
0.3,1e-04,-4,135
0.4,1e-04,-4,136
0.5,1e-04,-4,137
0.6,1e-04,-4,138
0.7,1e-04,-4,139
0.8,1e-04,-4,140
0.9,1e-04,-4,141
1,1e-04,-4,142
